Cleaned_Text,Score
"thank , afrin nasal spray ! also , get giant teacup tonight !",1
acsm . ` unfathomable . think one .. .. one keep comfort bedroom . yes ?,0
"aww , love daddy ! work 7 day week almost day still try go sf we",1
many test todayy ` feel confident anyy .,-1
graduation do I m little sad .. anyone want hang ? ?,-1
hahaa awesomee !,1
holy smokes ! star trek freaking awesomee,1
"hate fallout 3 keep make jump , ` also low health , money , ammo food ` worry ` get .",0
"! itune , lose song .",0
` gloomy weather ? sun must tired come play head victoria gardens impulse buy haha,0
"not look forward next week : math , geography , english french exam , total 7 hour",-1
"poor get outside sleep garden , sun good . ` forget suncream ! !",-1
not well,-1
not prob hun,1
"dad , watch mtv go sims2 minutee",0
absolutely,0
` matter chickadee ?,0
hey mia ! totally adore music . cd ?,1
"shop . clean . bmfing . webcam chat nephew . nothing spesh , good bank holiday monday nonetheless",1
= o need ask something ? lmao love,1
splinter look painful .. heroic save mr . pickle,-1
sad ?,-1
nice see tweet ! ` sunday 10th may ` celebrate mother ` day today . nice yer mom,1
decide 2 trans frm relax 2 natural hair wish whole head look like root . age instant gratification ..,1
namaskar & namaste . marathi people say namaskar ! marathi word .. ? .. naah !,0
"congrat ! cuss like matter minute , ` know reward .",0
humous dorito ` .. oh yes,0
"miss awesome weather , movie !",-1
today go normal day hope . group pilot large airline come last night much drink,0
"kid terrible ! good evans , ` call childline",-1
"unfortunatley , aerlingus no long fly copenhagen ` fly ryanair billund drive copenhagen one day !",-1
"` sad actually google term . suck , tho .",-1
hate fight,-1
"watch ! ! do not want win , put good fight .. lol",0
car - warm sprite taste like sore throat,-1
come 11th cross country beat dumbo,0
candle wax enjoyable .,1
"` unassuming unpretentious . ` , . suppose ` ` endear -- relate",1
tomorrow valeria ` lunch ! ! go get hair do I m arrave late get cousin babtizm whatever spell,0
goodd morning tweet ! ! week three workout . mention get new glass yesterday ? ! ?,1
. hate computer much ..,-1
fine ! go big walk today 20 mile,1
want red cruiser ! ! ` like one . lmfao !,-1
mm .. ? morning,0
neither,0
"10 hour work , sunday . boo . find time two hour lunchbreak though . yeah",0
bugger . forgot still wash machine,-1
"_ laurie send love , blessing & heal thought & family peace",1
back hurt .. really bad,-1
"ah yes , know feeling",0
night cooker dad,0
modem offline week .. god bless 3 g network . tim left .. ! ! may schedule brutal,-1
nope coquitlam,0
parent teacher thing yesterday ! ! boring go skl saturday ! ! laugh loud,-1
big booming thunder storm almost . maybe go home early ? ? ah .. probably not .,0
bevvie 2day twn .. great day ! !,1
first night myer . not w / out lydia ! ` actually excited summer !,1
good morning,1
good show ever !,1
url previous post ( timer job ) ` remove space mess url . ^es,-1
think iv hurt tooth eilish cassie draw competiton draw cooky pineapple haha : l .,0
want know audition mander ! text .. reply please !,0
even noo not secret namerebecca please,-1
miss neice ` wait see bad n grow * * ! laugh loud,-1
need get computer fix,0
really hop car ` illness not terminal ..,-1
no sir .. woulda put honey .. `,0
watch x - men origin : wolverine ? totally love ! haha,1
vote ! ! personal myspace ? keep talk fake < 3 . help thru hrd time life ! ( : x,1
` sad miss guy last night !,-1
finally get call marriage counseling 3 day late ..,0
ok,0
_ 420 baby ?,0
today last day high school end go home sick ! .. stupid dead rat,-1
` impromptu pool party .. except ` know swim ` get,0
lose tooth 2day whilst eat gum .. oww,-1
happy 1 year ! < 3,1
"oh , hella forgot say official good morning like hear ? go ! good morrne twitterville ! laugh loud",1
* phew * make note case anyone else run issueï¿½,0
? ? vote every day ! !,-1
` starve ! ! diet killing ` eat 8 pm,-1
talk,0
I m soo bored .. I m deffo miss music channel,-1
nite nite birthday girl fun concert,1
"nicotine replacement patch 4 hour . far , good , sleep 4 hour . get bit twitchy",0
_ sanderson ` twatter lately ? either ` get reply ` turn !,0
sleep . lose voice couple day ago .,-1
- hate park car get hit,-1
` hear fall . ` wait !,0
nightmare ? * huggle *,0
creeper feel disappointed . * * cyberstalking skill internet = no privacy .,-1
go bed late headache,-1
happy mother ` day mom ..,1
grab coffee make mom breakfast,0
I m think I m go fun tonight .. maybe change come,1
thank . major chop .,0
"haha know , can not handle fame ! thank !",1
get update ipod,0
yes ! sober hahaha tanghale tapat dude ! haha wild . ` kno plan plan go we !,1
never miss icarly - son huge crush miranda,1
see james carville store today . head really bald,0
yellow ?,0
mean ` go come back vancouver way ! hahah,0
feel smooth like chrome,1
ew traffic,-1
"download song try sneak lil homework , main priority not song laugh loud",0
sound like,0
bad day day realize mess ` put one happy day life ..,0
walk class . hate not bike .. especially mine .,-1
_ nesmith,0
"fail inspection . know pass will / oven , not will / anti - tip bracket , sell w / oven ? bad taxis .",-1
"jonas brothers - live party . ` rock hard love song ,",1
happy mother ` day mother world .,1
"35mins 1hr 20mins google wave demo , look lot fun , would love test though .",1
sleepy tabz head bed . fun night ! listen next episode joss ` !,1
exception short dude : larenz fineass tate yum,0
"screw review , think wolverine awesome . not enough dominic monaghan like .",1
"follow we recently , please do not offend ` follow back . hit limit . hopefully free soon .",1
yes work 6 3 ..,0
"hmm , maybe ` mean . elude something brand new know medium",0
do spa meeting vic late lunch !,0
happy monday go tavare today . hope everyone bless day !,1
always want go oz,0
thx,0
- cool .. luv,1
` need .. represent blackberry,1
okay ` dedicate 300th tweet fact ` go apple store huge crack glass screen !,0
could ever actually allow stay,0
let know turn ! !,0
sass detect ? long ` back sass ! haha,0
"yeah thinking , ahaha",1
sport bar shatranjanpoli rest ph 26498457 sport bar andheri w 26733 do not know whether help . google ki jai ho,0
` not sleep accept appology,-1
"wolverine boss ! seriously , will.i.am , * * ? ?",-1
"live pain , bring",0
"okay , ` back later !",0
wait tish get . get drive mom crv pick duckie . first time,0
"try decide movie friend .. not go well ! laugh loud : p no bible study 2nite , mean * * -day cake buy ? ?",-1
go shower ` want smell school tomorrow,0
sigh .. know ..,0
4 free twitter tool get follower,0
get home work .. chug big bottle apple juice .,0
yes . please do not ` go . die cry .. normally lead small animal get harm,-1
write report card soo tired amazing day . check fb soon !,1
big brother .. ` do,0
"well good morning , wonderful day neighborhood thank follow another 60 morning",1
ftsk mercy mercede amazing tonight .. always,1
hope ok !,1
` school do already ? hurt much .. see every day,1
"wait , listen wind blow tumbleweed ? none old enough know someone say ' crackerack ' ?",0
hell yeah !,0
shirt dinner ? need ask ? ? actually ville ?,0
know ! !,0
huh * * ? smelly ? noo . love alex vixon,0
"go party last night . dindin show matching outfit ) great mind think alike ) anyway , happy birthday , eat lara",1
"happy b - day ! wake side earth , wish bit late",1
"thank teach value well person day love much , ` good mum world",1
happy mother day . !,1
"* laugh * ` glad self confidence - ` wonderful trait ` applaud extra loud , okay ?",1
thank,1
twitter 2 day !,0
get ready week nice today stick inside work !,1
tre depress,-1
"feel like * * , behave like son ; eat compensate . pig home - roasted sugar almond . painful tum , throw , still feel sick .",-1
happy mother day people . love mom lot still,1
` sorry hear .,-1
"` awesome dude , yay surprise celebrity ! get meet year ago , soo friendly .",1
"make happy hear girl talk , tweet , nba . .. could give nugget love ? !",1
get hang twitter .,0
know neck jack force pay parking bc ` turn head parallel park free space ..,-1
want back ! :,0
go miss roomie .. no long roomy start tomorrow,-1
"bath two little angel , keyla janice .",0
"yep , finish , chock full spelling grammatical error , ` clean tomorrow pop hehe",-1
hahahha laugh loud true ! always remember bd never remember date even day,0
"family , hang",0
watch ellen love ! ! dish tanning .. ` gorgeous !,1
` goin hun ? ` worry,-1
I m not bannished .. work till 6,-1
"morning ! get see , ` let know . right , ` go go see wolverine .",0
"red top tabloid , build em , knock em",0
tonight party w/ girl ( minus vita ),1
not make sad thought ` jump joy,0
"pic upload baby pic cat . missy adult pretty little kitty , batty kitten heaven",0
"see play , amazing",1
_ glad break twitter virginity two .,1
dinner fam .. miss,-1
"_ live ` want . well . bind bad egg though , soon learn .",0
hell yeah kellynn get twitter . finally .,0
"know worth shot , though !",1
"open facebook account , ` little confused ` really get . twitter seem much well",1
ship . ` stick .,-1
dustbin baby 11.30 not wait x,1
"not go dwell . happen , ` pass . shame supportive ! life ! x",-1
,0
home empty hand . no comic_strip find today . shall indulge cupcake magnolia bakery .,0
lay bed til workk .. oh life . definitely pinch nerve .,-1
today busy day . exhausting !,-1
"go go sunday , ` get much go weekend",0
sorry hear ur flight get cancel blow ! !,-1
ohh tooth hurt ohh I m sad hurt,-1
"get distract , ` like thank new follower take trouble follow ! other : feelin love",1
think bill ha ! ii finish pay mine ` ` break,-1
not sure ` say 2 big . jst see pic ur last bday . look pretty ! ! miss ! !,0
sore throat . plan tet outing marwell though .. good time,0
mcfly gig last nightt oh god amazin do not sit whole thing mcfly see good mate tutus,1
2 day without sleep migraine . think life postr01 mean relax,-1
!,0
? suck ! ? ..,-1
when s sway sway winner announce ?,0
k check ..,0
"pretty well , wide awake",1
"want wake early , get coffee tomorrow ( today ) ! ` go busyy day ! keep write .. boo whoo !",0
miss daddy mommy,-1
"dog officially depressed brother ` dog go . ` want go outside , play half - heartedly .",-1
realize ` forward text msgs iphone .,0
"frist post .. find new car parent , exciting !",1
argh noo ! miss killers wossy ! suck ! miss brandon . total failure ! anyone know ` repeat ? must investigate !,-1
seriously bored without anyone talk .. not tired enough sleep,-1
lose . please help find good home .,-1
"` peter & gordon morning - > , go piece wan na hide / go piece almost die / ever .. ?",0
ok ` get bit bad back lift drum hardware car downer .,-1
lmao .. smh ! one throw .,0
oh nice go !,1
get ready work .. work weekend,0
go to celebrate mother day family go to start party tonite,1
agree !,1
computer . hopeless everything else,-1
"90 degree , gross sky , thunderstorm .. perfect match mood laugh loud",1
_ 2nd aww thank !,1
sorry rb ps3,-1
see amazing heel . big,0
stuck finger throat bunch bump tongue & throat .,-1
dang last url go ?,-1
"ohoh miss ur tweet I m go to stay awake night see announcement , * * time difference",-1
damnit . suck . one one think ` drag back laugh loud,-1
boss . ` move nyc,0
soo crazy fever ..,-1
spend saturday morning taking note research essay stupid * * recall book ` use . not fair,-1
think need new friend,0
look forward gig ireland ! ! see ya !,0
please review sunehre ad placement,1
aww loove,1
"hungry , twitter . want food . < /3",0
awesome lucky,1
"yea , know .. tell everything ! ps : send direct message tell .. haha",0
"haha I m jewish , love one",1
"great time beer garden wit boyos ! ! think sun get bit though , feel bit ill ! !",0
l ` 3 day matt . no fun weekend .,-1
really ` think ? maybe ur right .. lol . btw phone use ? think tell b4 .. might app,0
feel pain . mine way,-1
come home two day,0
sadly no . ` come one ..,-1
can not wait see boy tomorrow,1
ehh no . check . dentist app next week though . get molar pull / root canal .,0
aww miss drive elmwood,-1
oh god wango tango * * awsome ! love baby taking,1
"version 2 live , interactive trans - siberian ticket planner launch : - cool",1
_ 30439 really wish could go !,1
"yeah real hard , know ` get .. smile",0
` 25 december ` not good next big birthday 30 21 fly sure,-1
make night ! ! way funny ! !,1
woo cavs . happy mother ` day !,1
make face get home mom watch soap .,0
go work .,0
` believe go get boba without .,0
", today ?",0
thank warm welcome ! ` make plan arrival time air .,1
19 day count,0
sorry friend - ` swamp deadline right family visit boot ! no charade .,-1
brainfreeze,0
discover shortcoming gravity . use twitpic ( integrate ) ` subtract pic url 140 character limit,0
"sunburn peel ,",-1
perky purple nail polish ` perky chip,0
"- put camera smoker pit . no long vandalize door , without catch .",0
lay alone ! ! since mook ` soo comfy f ` n play pen . think ill first ` no one cuddle ..,-1
hate dentist,-1
"nothing aim , join .. sorry",-1
` take twitter break . cell die,-1
qood morninq,0
write english original writing storyy . listen ` little respect ` erasure aah .,0
need follower,0
wish could get nail do stupid job,-1
little wormy labyrinth sadly pass away today ok he s still around happy ghost form aww,0
' no pant ' idea could new attempt world - wide attract business back airline .,0
good one,1
"yep infact popular , miss india 99 , talented film actress .. lot",1
dosen ` want go work tomorrow,-1
daniel dsds . voice great .,1
[ -o ] wish birthday massacre would come australia think say ` think tho ..,0
hop go red lobster weekend,0
_ x_atl mean jack barakat ` ? ! wow ever go house ? hehe mean ur ssoo lucky address !,1
sure hope become 4:20 afternoon ..,1
mean famous . congrat !,1
phone pass away yesterday .. jump table search new phone ..,-1
"fantastic friend , include several one meet ! thank life - amazing people !",1
tamlyn wish cool sock draw,1
no rice crusty bread chili .. aaww,0
"like mind evening , dear !",0
come save packing please ? !,0
"yes , love tea . make typically english",1
mouth sure,1
_ dec0de finally 1 hour history .. 3.00 pm ! go highschool 8.00 make homework friend,0
pancake ! ! lemon sugar thank !,1
"si , no bueno guess ` entertain : /",-1
` hunrgy right heel kill hardly walk,-1
electronic key stop work . no keyhole ! can not get car . much technology,-1
"yay , three follower ! good know one person big wide world like fishie .",1
' my name tony ! ! .. not hey ! ! ' - poor tony,-1
goodmorning,1
take shift tomorrow . ` really feel like work right .,-1
"love mine , . happy motherï¿½s day mom , john taylor . much love , .",1
see black snake garden . go back picture go,0
- buy ludi rug . dog well,1
no waterfront anymore faccia luna clarendon,-1
love mum much ! happy mother day wonderful mother,1
slip catch flu feeling like poop !,-1
"urge play wow wait 2 week til I m dad ! 5 + 47day til mcfly , I m excited ( l )",1
ok .. passenger .. no one alive .. ` dead .. ` know til end .. cry ..,-1
discover share g reader ` even know . sigh .. ` g reader newb .,0
"chill tonite , not spew venom write funny . seem like 2 style",0
", please pray 4 . lord know need .",0
aaw want live usa,0
morning tweeple,1
"hey , ` get ! !",0
2 hour sleep .. - rest need .,1
"make day much well , ` rough one . mention love new photo !",0
` want sit home prom night . someone hang,-1
head home foot surgery wish boyfriend come cuddle,1
concert tonight chackin not come tomorrow !,0
happen ? think come back today ..,0
laugh loud dammit well next time,-1
lol . ` ever forget,1
still jealous,-1
- forever 21 ethan `,-1
I m sad I m not give first .. do not nothing ! ! : * * - (,-1
week mine not easy ! finally ` ! ( :,-1
wow beautiful picture .. way .. straight .. want let know ! ! bella,1
arch . draw . check mvcc ` cad degree . look good,1
"' there people pencil ' sharp , not sharpen pencil philosophy ..",0
"go home . ` usually ` mr . positive ` one daze . well , 15 min tomorrow !",0
always lee . let ` go paris,0
know want come keep company whilst mum ` friend night ` nice evening !,1
cook dad lot fun kitchen together,1
bounce rush make feel nauseous,-1
woolsery morning ( hopefully ) see north molton u16 clinch north devon league title . lovely day,1
play singstar without fave duetter,-1
"` missing , bb ! ` cereal nut , think like every kind available .",1
"` weird .. : \ oh , draw ?",-1
wake : mum sing new gn ` r cd replacement buy I m good daughter,1
"bird , , oh man .. ` not cool & & ` sleep yet night ! !",-1
"250 mile , 1750 go . that s ok , u2 radio alwas help .",1
"street fighter iv skill lack , ` beat seth easy .",-1
fil 461 cool people like,1
good morning ! ! work ` espn ` sunday night baseball . hopefully ` get rain,1
think ` honeymoon good life -- either ` honey moon joseph arthur .,0
son get sting bug first time little finger slightly swollen .,-1
hour ago come .. ` realise go buy something online,0
oh refer lil exchange lj regard twitter archive posting .,0
bump dj opus drunk car . lmao . ` act like ` know .,-1
kiss foot people kick anything want ? morning everyone ! hope good day ever,1
` brief preview : oh god james creepy role ! ` scared,-1
` miss crab leg attend go away instead !,-1
hicks mean !,-1
"gettn ready take trip jersey dad ` not good , need new heart ~ whoeva see ` please say prayer dad",-1
"back soon , need run shop cut grass",0
` . plan transform bedroom today . random .,0
"home tomorrow . run spin . time chiropractor , laundry , shopping , visit family . miss nathan",-1
that s another sponsor,0
"we go stuck office , without window",-1
no ` not sad . make proud,-1
"sorry , ` try keep .",-1
home alone .. hw,0
"accord , quarter family six live poverty .",-1
plan not spend money not go well,-1
upload bamboozle picture facebook,0
congratulation ! guy finish month early . boo,1
"actually , wish back tahoe . miss .",-1
"wake , wan na stay bed",0
birthday june 19 .. wack .. ihavent see promotion birthday party someone well finagle asap !,-1
"would great vip act ` enjoy see , noo .",0
_ marie wish could make ! ! hate commute sometimes,0
workin long day today .. hopefully make good tip,1
go quick ` chance laugh loud,-1
hat headache ! maybe ` not ready rock,-1
thank support,1
` really no android twitter app tweetie ` calibre,0
"good day drive mountain , visit katie , eat chip & fudge stocking lovely smell soap",1
nyappy mother ` day mom ` .,1
yeah .. I m go to take ur picture ipod baby ..,0
traumatize moment childhood . dog massacre baby bunny brother get bb gun ..,-1
laugh loud .. wish way microsize everything .. lol,0
"' organization .. itil , forget people ( fail ) ' preach converted people",-1
"_ libertine um , glad enjoy ..",1
dinner evening playing card . already pack ready head home tomorrow go home ?,0
I m allergic cat ! tonsil get swollen hurt doo ? !,-1
say feel mama tuck night ` lonely getting . tomorrow tough !,-1
miss alot one day,-1
sound like great night . ` glad successful,1
thank share,1
say mlia instead fml hope find soon,1
"garden go well , almost corn pea , no onion beet yet though .",1
nah jkin ` hot ! .. bore,0
ahh ` sqeaky clean fresh . even though ` wear dirty clothe love two half man - ` amazing !,1
yes read many time .,0
cuz play grow twitter ?,0
nope .. tell want cameo cream,0
` go to miss !,-1
quite like worthe relax place nice coffee shop fresh air .. not many oik,1
"_ terrible haha , new fact ` cost part . kind spock !",0
today lovely day ! fun evening !,1
beto ` pizzeria banksville rd believe beachview area .. sorry answer like 100 year later,-1
"sigh , sister bein strange .. come way copenhagen london , phone turn .. wan na see dammit",-1
amazing,1
` sick sad .. miss martini lounge tonight,-1
seem really quiet tonight .. jealous clearly exciting life bed think ..,0
really wish spare cash buy new punch wii,-1
"aw , not go toronto anymore .",-1
sorry hear mom ! really suck,-1
feel hope ` smooth flight . safe ! mucho amor boston !,1
` sleep .. ` watch hgtv . ` afraid infomercial take,-1
` getting & family ready kaylee ` graduation ! ` go to make sad .,-1
sweet dream,1
hay wat ur aim ? chat,0
. okay kool .. might tour summer long make happen !,0
pain . big toe get stomp hokey cokeu . ` throb . anyone suggestion heal ?,-1
"time watch op , dead like , sleep .",0
dinner grandma since ` mum .,0
haha thank history invention television influence america laugh loud,1
yea wassup,0
"stupid job , not know .",-1
shop til drop .. come bac sunshine miss,-1
"like pic , lucky girl ,",1
thank ` anxiety issue year think make first couple day fine .,0
around 3 hour leave 3 day weekend waay much work .,0
feel loved ! mom get nikon cool pix birthday ! !,1
yes ! join we ! require cupcake donation ..,0
hard time talk new people - pretty sure ` make good impression ..,-1
_ rc234 haha yup . still terrible headache super swell puffy eye ! do not think I m go today.ugh !,-1
` access site !,0
sun shin .. last,1
"slow train ever , stop everywhere . miss quick train minute",-1
nup no cd either .. whole bunch zero one free,0
graduation day .. feel like failure ..,0
op laugh loud be not suppose get twitter,0
"` think ` ever tierd life.ugh , goodnight.so sleeping tomorrow",-1
go today girl ?,0
do not want anymore,-1
bad hair day,-1
.. headache,-1
sorry guy ` sign sorry every1,-1
"` okay - okay ` .. like rest sane population world , hate monday",0
mozart ` requiem !,0
"think bit , love creation wit not physically attract although great style",0
_ a_michael hey ! thank another great day ! ` go sleep ! ` chat tomorrow ! sweet dream !,1
"bet cool sr , huh ? ` not . ` stop sweat since noon dad pack",-1
"ohshnapss . piss blair usual ? hahah . & yeeah , bake cooky",0
no bueno . hollykin need feel well asap . p.s . miss . do uni soon ` ? soproudofyou .,0
"- cool ! mother awesome hair style , ! wish happy mother ` day !",1
happy mother ` day mother .,1
< -- expression watch :,0
stupid bipolar weather ruin day,-1
` want tell think ` body odour,-1
nice beta easport still no news online madden,0
that s pretty bad quality probably bad pic post till date,-1
miss call,-1
unfortunately we look like no funny people twitter move fb start .. flitter,-1
come back karaoke & eat dinner emily . soo much fun,1
discrimination not bad thing . ` learn say no . child would say master year ago,1
sure talk .. fabulous * * part though sorry dear,0
"see 15 sec clip new moon trailer ? ? etonline.com .. check . big tease , though",-1
get back work . ` feel pretty good . work 4:30,1
ahh satz blend ` save,0
"! ! matter ? bet would great ! ! ! ` love , right ? not go !",1
dh finish make giant trio candy bar . thank heavens . work mate treat tomorrow !,1
ear pop .,0
submit resume day see no answer back . oh well ..,-1
catch 2 week lose grey ` ! ! house quiet .,0
love ryan housewife . make smile .,1
soo .. ` kinda sick n tired bs guy dish ! !,-1
boo .. hop fake alien story tinfoil cover beachball photo,-1
hey phill ! wazzupp ? !,0
miss westcott micro apollo,-1
.. .great .. buy lunch get 10 - 15 % pay cut next month ..,1
"finally go beach , yeaah !",1
_ ranjan ever mention nice awesome dude ?,1
"last weekday nothing , school start next week ! !",0
hello gorgeous girl ! nice new pic ! today,1
ok * * duet hysterical laugh loud,1
"ok , turn twitter device update get new battery . phone go fully charge dead 5 hour",0
michelle hot mama chichi grande,0
no one know like boil peanut .,0
"watch 100th episode numb3rs . love throwback first episode , use sprinkler theory",1
` sleepy feeling weather ! ugh ! * * tonsil . need company somebody talk !,-1
please get cell phone well camera .. picture real bad quality compare miley take,0
"_ ichigo try carry aswell , bless , suppose maybe ` kid ` ?",1
"boozy weekend long time , good fun though !",1
count hour lose sunshine weekend,-1
"planning ! try call doctor , though ` go well . mostly , plan",-1
hooray ! ` hook already,0
ok good day,1
agree . everybody would ` excited go .. ohh noo .. ms screw ..,0
edge leave contributor list month ` issue . x ffs . < - werd,0
"oo growl yummy time come soon huh oh yeah , hunt combo tshirt , think find one ? no",0
I m back z - index problem ..,-1
anyone ? ? bored work ..,-1
hat life moment . ` many nos delicate little mind take,-1
check start new tee ` limited edition different way ! ! check facebook group,0
' they ' husband girl ?,0
thinking vegas ? ? good idea place see ! ? ?,0
first day summer suck ! ! overcast cold .. ` summer ! ? ! ? ! ? ! ?,-1
hi one kiwi artist another kiwi artist,0
say happy mother ` day mom,1
oo ok have not accept friend request,0
sorry tweet bgt poor wonderful crazy weird greg not fair . silly little girl never go cope . urgh . not fair .,-1
no,0
_ michele thank .. follow .. love good cause,1
not available area would,-1
friday ! 5 hour ` free ! .. tomorrow . oh well,0
meet time iï¿½m try win something prize ` friday !,0
wait 5:00 & cramp,-1
philosophy final today ! thank ` 3 day ! !,1
"` plan ` go follow , ok",0
_ what _ ? let guess .. skip sport buy new pinkish outfit ?,0
rain please come,0
pleasure,0
1st presentation senior board ? fml,-1
"laugh loud know funny , ahaha",1
wide awake grouchy * * .,-1
"think thing ` get bad . . get even bad tonight , bet . life misery .",-1
` app,0
"laugh loud hi emmy , latin would help study aptitude test get grad school ; \ that s wan na take",1
supper tonight kurumi 10 minute,0
_ kap think ` cute . every night okay ?,1
happy .. skool let .. ! today last day .. ! yippee ! r.i.p jackson tyler morris .. ! always love never forget .. !,1
hi mariah,0
_ yours13 ` not home cat right !,0
where s music mann ! ! ? ? inbox still empty,-1
atm ? oh yeah . apple juice ` rebel !,-1
".. ` sorry still sick know , know guess ' pelzer present ' ; - )",-1
nice one !,1
exam 1 today . go get license renew birthday get close !,0
get to get creative mother day gift . ` go to win love ! !,1
think go to rain,0
"aah . well , friend . wonder ` great weather ` good ..",1
"yrbook sign w/ evryone fun , ` gna miss evrythe",0
lose artistic ability,-1
not close enough could run get one,0
stone cold crazy .. ?,-1
totally austin power withdrawl sympton darrius withdrawl symptom mommy minne withdrawl syamptom .,0
_ xo pretty take like hour urss !,1
senior ` last day .,0
crisis : forget fringe comb ` man .. no one help,-1
already get ticket ; thank make sure though !,1
thank new follower !,1
"- ` get close rather real lobby date - chicago , blogher09 - squee ! !",0
lose vocie adele laugh laugh loud still wonder ` college week,0
"_ kill_boy oh sorry ! not get reply nothing . yes , know nirvana",-1
"busy work new kit .. couple interview do .. yea ! weekend ! pray uncle , still young massive stroke ! !",1
"` get bite rabie infest person last night yay ! go to scare rachel quarantine tonight , shall fun",0
